cleaned_name,occurrences,correct_name
araguaina,405,Araguaina
itabirito,404,Itabirito
teixeiradefreitas,402,Teixeira De Freitas
diamantina,401,Diamantina
arapongas,399,Arapongas
cruzalta,397,Cruz Alta
catalao,396,Catalao
cacador,392,Cacador
taubaté,390,Taubate
cacapava,390,Cacapava
portofeliz,385,Porto Feliz
guaiba,382,Guaiba
gramado,380,Gramado
dracena,378,Dracena
mococa,377,Mococa
lencoispaulista,376,Lencois Paulista
pedroleopoldo,376,Pedro Leopoldo
corumba,376,Corumba
saomigueldooeste,375,Sao Miguel Do Oeste
varzeagrande,372,Varzea Grande
cachoeiradosul,370,Cachoeira Do Sul
jundiaí,369,Jundiai
embu-guacu,369,Embu-Guacu
jales,366,Jales
cerquilho,364,Cerquilho
petrópolis,364,Petropolis
cianorte,363,Cianorte
tresrios,362,Tres Rios
santaisabel,361,Santa Isabel
parauapebas,361,Parauapebas
saobentodosul,360,Sao Bento Do Sul
bomdespacho,359,Bom Despacho
santanadolivramento,358,Sant'Ana Do Livramento
mongagua,357,Mongagua
paracambi,356,Paracambi
itumbiara,356,Itumbiara
fazendariogrande,355,Fazenda Rio Grande
saojosedoriopardo,353,Sao Jose Do Rio Pardo
penapolis,352,Penapolis
pirapora,352,Pirapora
capaodacanoa,349,Capao Da Canoa
batatais,348,Batatais
navegantes,347,Navegantes
cosmopolis,345,Cosmopolis
saojoaquimdabarra,345,Sao Joaquim Da Barra
santacruzdoriopardo,342,Santa Cruz Do Rio Pardo
arturnogueira,340,Artur Nogueira
portoferreira,340,Porto Ferreira
saosebastiaodoparaiso,340,Sao Sebastiao Do Paraiso
ilhasolteira,338,Ilha Solteira
jatai,337,Jatai
luiseduardomagalhaes,335,Luis Eduardo Magalhaes
caldasnovas,335,Caldas Novas
trescoracoes,334,Tres Coracoes
campobom,334,Campo Bom
taquaritinga,331,Taquaritinga
montealto,331,Monte Alto
barradopirai,331,Barra Do Pirai
guaira,330,Guaira
sarandi,330,Sarandi
riobonito,329,Rio Bonito
farroupilha,329,Farroupilha
saogotardo,325,Sao Gotardo
montenegro,324,Monte Negro
garanhuns,323,Garanhuns
sobral,323,Sobral
embu,322,Embu das Artes
capivari,321,Capivari
saoborja,321,Sao Borja
guaxupe,320,Guaxupe
mossoro,320,Mossoro
castanhal,320,Castanhal
ituverava,317,Ituverava
